                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.042246,               0.019663,               0.022721,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.07003,                0.00333,                0.00333
                      1,                0.02821,               0.010969,                0.01583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.03943,              0.0060636,              0.0060636
                      2,               0.024596,               0.010081,               0.014408,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082306,              0.0081973,              0.0081973
                      3,               0.020319,               0.010023,               0.013271,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0073,                 0.0073,                 0.0073
                      4,                0.01824,              0.0095335,               0.012414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0073,                 0.0073,                 0.0073
                      5,               0.015778,               0.008994,               0.011373,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0064,                 0.0064,                 0.0064
                      6,               0.013866,              0.0084917,               0.010463,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0055,                 0.0055,                 0.0055
                      7,               0.011991,              0.0082289,              0.0096127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0046,                 0.0046,                 0.0046
                      8,               0.010818,               0.007936,              0.0089184,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0037,                 0.0037,                 0.0037
                      9,              0.0095918,              0.0076178,              0.0082967,                      0,                0.99999,                0.99947,                  0.995,                0.99492,                0.99999,                0.99947,                  0.995,                0.99491,              0.0038247,              0.0033491,              0.0019082,                      0,                 0.0028,                 0.0028,                 0.0028
                     11,                0.99999,                0.99947,                  0.995,                0.99492,                0.99999,                0.99947,                  0.995,                0.99491,              0.0038243,              0.0033488,              0.0019084,                      0
