                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.048897,               0.027525,               0.049753,               0.018272,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.07003,                0.00333,                0.00333
                      1,               0.035743,               0.017761,               0.040044,              0.0057501,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.03943,              0.0060636,              0.0060636
                      2,               0.030907,               0.016788,               0.036939,              0.0042015,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082306,              0.0081973,              0.0081973
                      3,                0.02681,                0.01603,               0.034752,              0.0037479,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0073,                 0.0073,                 0.0073
                      4,               0.024704,               0.014937,               0.032769,                 0.0033,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0073,                 0.0073,                 0.0073
                      5,               0.022428,               0.014604,                0.03075,              0.0030446,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0064,                 0.0064,                 0.0064
                      6,               0.020662,               0.014107,               0.029287,              0.0027739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0055,                 0.0055,                 0.0055
                      7,                0.01909,               0.013693,               0.027814,              0.0025894,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0046,                 0.0046,                 0.0046
                      8,                0.01785,                0.01331,               0.026488,              0.0023949,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0037,                 0.0037,                 0.0037
                      9,                 0.0166,               0.012931,                0.02511,              0.0021911,                0.99943,                0.99885,                0.99499,                0.96358,                0.99943,                0.99885,                0.99499,                0.92708,              0.0067373,              0.0094052,              0.0094351,             0.00037623,                 0.0028,                 0.0028,                 0.0028
                     11,                0.99943,                0.99885,                0.99499,                0.96382,                0.99943,                0.99885,                0.99499,                0.92727,              0.0067375,              0.0094046,              0.0094351,             0.00037625
